# source: https://www.bea.gov/news/archive?title=Personal+Income+and+Outlays&field_related_product_target_id=All&created_1=All (curl 2026-09-15) -- the release list
# source: each release's own BEA page, quoted below per row; the date and time are that page's
#         "EMBARGOED UNTIL RELEASE AT <time> <TZ>, <weekday>, <date>" header (curl 2026-09-15)
# cross-checked against the previous release's "Next release: ..." line and, for every non-08:30
#         release, against the release PDF/TXT itself
# columns: release name | reference month | release date (ISO yyyy-mm-dd) | release time (Eastern, HH:MM 24h)
# 2021-01-29 -> https://www.bea.gov/news/2021/personal-income-and-outlays-december-2020
Personal Income and Outlays | December 2020 | 2021-01-29 | 08:30
# 2021-02-26 -> https://www.bea.gov/index.php/news/2021/personal-income-and-outlays-january-2021
Personal Income and Outlays | January 2021 | 2021-02-26 | 08:30
# 2021-03-26 -> https://www.bea.gov/index.php/news/2021/personal-income-and-outlays-february-2021
Personal Income and Outlays | February 2021 | 2021-03-26 | 08:30
# 2021-04-30 -> https://www.bea.gov/index.php/news/2021/personal-income-and-outlays-march-2021
Personal Income and Outlays | March 2021 | 2021-04-30 | 08:30
# 2021-05-28 -> https://www.bea.gov/index.php/news/2021/personal-income-and-outlays-april-2021
Personal Income and Outlays | April 2021 | 2021-05-28 | 08:30
# 2021-06-25 -> https://www.bea.gov/news/2021/personal-income-and-outlays-may-2021
Personal Income and Outlays | May 2021 | 2021-06-25 | 08:30
# 2021-07-30 -> https://www.bea.gov/news/2021/personal-income-and-outlays-june-2021-and-annual-update
Personal Income and Outlays | June 2021 | 2021-07-30 | 08:30
# 2021-08-27 -> https://www.bea.gov/news/2021/personal-income-and-outlays-july-2021
Personal Income and Outlays | July 2021 | 2021-08-27 | 08:30
# 2021-10-01 -> https://www.bea.gov/news/2021/personal-income-and-outlays-august-2021
Personal Income and Outlays | August 2021 | 2021-10-01 | 08:30
# 2021-10-29 -> https://www.bea.gov/news/2021/personal-income-and-outlays-september-2021
Personal Income and Outlays | September 2021 | 2021-10-29 | 08:30
# 2021-11-24: time from the release PDF https://www.bea.gov/sites/default/files/2021-11/pi1021.pdf ("EMBARGOED UNTIL RELEASE AT 10:00 A.M. EST, WEDNESDAY, NOVEMBER 24, 2021"); the HTML page's embargo field wrongly says 8:30
# 2021-11-24: released at 10:00, not 08:30: BEA shares the day with its own GDP release, which took the 08:30 slot (archive row for that date confirmed at 08:30)
# 2021-11-24 -> https://www.bea.gov/news/2021/personal-income-and-outlays-october-2021
Personal Income and Outlays | October 2021 | 2021-11-24 | 10:00
# 2021-12-23 -> https://www.bea.gov/news/2021/personal-income-and-outlays-november-2021
Personal Income and Outlays | November 2021 | 2021-12-23 | 08:30
