# source: https://www.bea.gov/news/archive?title=Personal+Income+and+Outlays&field_related_product_target_id=All&created_1=All (curl 2026-09-15) -- the release list
# source: each release's own BEA page, quoted below per row; the date and time are that page's
#         "EMBARGOED UNTIL RELEASE AT <time> <TZ>, <weekday>, <date>" header (curl 2026-09-15)
# cross-checked against the previous release's "Next release: ..." line and, for every non-08:30
#         release, against the release PDF/TXT itself
# columns: release name | reference month | release date (ISO yyyy-mm-dd) | release time (Eastern, HH:MM 24h)
# 2023-01-27 -> https://www.bea.gov/index.php/news/2023/personal-income-and-outlays-december-2022
Personal Income and Outlays | December 2022 | 2023-01-27 | 08:30
# 2023-02-24 -> https://www.bea.gov/news/2023/personal-income-and-outlays-january-2023
Personal Income and Outlays | January 2023 | 2023-02-24 | 08:30
# 2023-03-31 -> https://www.bea.gov/news/2023/personal-income-and-outlays-february-2023
Personal Income and Outlays | February 2023 | 2023-03-31 | 08:30
# 2023-04-28 -> https://www.bea.gov/news/2023/personal-income-and-outlays-march-2023
Personal Income and Outlays | March 2023 | 2023-04-28 | 08:30
# 2023-05-26 -> https://www.bea.gov/news/2023/personal-income-and-outlays-april-2023
Personal Income and Outlays | April 2023 | 2023-05-26 | 08:30
# 2023-06-30 -> https://www.bea.gov/news/2023/personal-income-and-outlays-may-2023
Personal Income and Outlays | May 2023 | 2023-06-30 | 08:30
# 2023-07-28 -> https://www.bea.gov/news/2023/personal-income-and-outlays-june-2023
Personal Income and Outlays | June 2023 | 2023-07-28 | 08:30
# 2023-08-31 -> https://www.bea.gov/news/2023/personal-income-and-outlays-july-2023
Personal Income and Outlays | July 2023 | 2023-08-31 | 08:30
# 2023-09-29 -> https://www.bea.gov/news/2023/personal-income-and-outlays-august-2023
Personal Income and Outlays | August 2023 | 2023-09-29 | 08:30
# 2023-10-27 -> https://www.bea.gov/news/2023/personal-income-and-outlays-september-2023
Personal Income and Outlays | September 2023 | 2023-10-27 | 08:30
# 2023-11-30 -> https://www.bea.gov/news/2023/personal-income-and-outlays-october-2023
Personal Income and Outlays | October 2023 | 2023-11-30 | 08:30
# 2023-12-22 -> https://www.bea.gov/news/2023/personal-income-and-outlays-november-2023
Personal Income and Outlays | November 2023 | 2023-12-22 | 08:30
