# source: https://www.bls.gov/schedule/2026/home.htm, cross-checked against https://www.bls.gov/schedule/news_release/cpi.htm and https://www.bls.gov/schedule/news_release/empsit.htm (both list Nov 2025 -> Nov 2026 reference months; identical dates) (WebFetch 2026-09-14)
# columns: release name | reference month | release date (as printed) | release time (ET, as printed)
Consumer Price Index | December 2025 | Tuesday, January 13, 2026 | 08:30 AM
Consumer Price Index | January 2026 | Friday, February 13, 2026 | 08:30 AM
Consumer Price Index | February 2026 | Wednesday, March 11, 2026 | 08:30 AM
Consumer Price Index | March 2026 | Friday, April 10, 2026 | 08:30 AM
Consumer Price Index | April 2026 | Tuesday, May 12, 2026 | 08:30 AM
Consumer Price Index | May 2026 | Wednesday, June 10, 2026 | 08:30 AM
Consumer Price Index | June 2026 | Tuesday, July 14, 2026 | 08:30 AM
Consumer Price Index | July 2026 | Wednesday, August 12, 2026 | 08:30 AM
Consumer Price Index | August 2026 | Friday, September 11, 2026 | 08:30 AM
Consumer Price Index | September 2026 | Wednesday, October 14, 2026 | 08:30 AM
Consumer Price Index | October 2026 | Tuesday, November 10, 2026 | 08:30 AM
Consumer Price Index | November 2026 | Thursday, December 10, 2026 | 08:30 AM
Employment Situation | December 2025 | Friday, January 9, 2026 | 08:30 AM
Employment Situation | January 2026 | Wednesday, February 11, 2026 | 08:30 AM
Employment Situation | February 2026 | Friday, March 6, 2026 | 08:30 AM
Employment Situation | March 2026 | Friday, April 3, 2026 | 08:30 AM
Employment Situation | April 2026 | Friday, May 8, 2026 | 08:30 AM
Employment Situation | May 2026 | Friday, June 5, 2026 | 08:30 AM
Employment Situation | June 2026 | Thursday, July 2, 2026 | 08:30 AM
Employment Situation | July 2026 | Friday, August 7, 2026 | 08:30 AM
Employment Situation | August 2026 | Friday, September 4, 2026 | 08:30 AM
Employment Situation | September 2026 | Friday, October 2, 2026 | 08:30 AM
Employment Situation | October 2026 | Friday, November 6, 2026 | 08:30 AM
Employment Situation | November 2026 | Friday, December 4, 2026 | 08:30 AM
