data root: E:/rust/flowdesk/data-sealed
bars:      XAUDUKA-15m 362803 from 2010-06-01 00:00:00+00:00 to 2025-09-22 23:45:00+00:00
spread:    0.28 points per round trip (configured)

== path efficiency by hour of day: |net move over h bars| / total travel over those bars ==
A random walk sits at 1/sqrt(h) exactly: 0.5000 at h=4, 0.3536 at h=8, 0.2500 at h=16.

-- h = 4 bars (60 minutes), random-walk line 0.5000
 hourUTC       n   E|net|   E[trav]  effRatio   vs walk  netPts/0.28
       0   15745    2.196     4.152    0.5290    1.0579         7.84
       1   15748    1.761     3.449    0.5106    1.0213         6.29
       2   15754    1.445     2.894    0.4991    0.9981         5.16
       3   15755    1.174     2.389    0.4913    0.9826         4.19
       4   15756    1.385     2.737    0.5062    1.0124         4.95
       5   15756    1.906     3.704    0.5145    1.0291         6.81
       6   15756    2.048     4.128    0.4960    0.9920         7.31
       7   15756    2.134     4.263    0.5006    1.0011         7.62
       8   15756    1.887     3.795    0.4972    0.9944         6.74
       9   15756    1.805     3.675    0.4911    0.9823         6.45
      10   15755    1.880     3.834    0.4903    0.9807         6.71
      11   15756    2.731     5.248    0.5203    1.0407         9.75
      12   15755    3.479     6.802    0.5114    1.0229        12.42
      13   15753    3.805     7.426    0.5124    1.0247        13.59
      14   15752    3.264     6.454    0.5058    1.0116        11.66
      15   15754    2.512     4.996    0.5027    1.0054         8.97
      16   15753    2.159     4.328    0.4988    0.9976         7.71
      17   15628    2.007     4.017    0.4997    0.9994         7.17
      18   15471    1.899     3.772    0.5034    1.0067         6.78
      19   15361    1.495     3.065    0.4878    0.9755         5.34
      20   15340    1.520     3.097    0.4909    0.9818         5.43
      21    6499    1.525     2.965    0.5144    1.0288         5.45
      22   10960    1.266     2.689    0.4708    0.9415         4.52
      23   15721    1.630     3.238    0.5034    1.0068         5.82

-- h = 8 bars (120 minutes), random-walk line 0.3536
 hourUTC       n   E|net|   E[trav]  effRatio   vs walk  netPts/0.28
       0   15745    2.849     7.601    0.3749    1.0603        10.18
       1   15748    2.320     6.344    0.3656    1.0341         8.28
       2   15754    1.887     5.283    0.3571    1.0101         6.74
       3   15755    1.788     5.126    0.3488    0.9864         6.38
       4   15756    2.397     6.441    0.3722    1.0528         8.56
       5   15756    2.799     7.833    0.3573    1.0106        10.00
       6   15756    2.975     8.391    0.3545    1.0027        10.62
       7   15756    2.878     8.058    0.3572    1.0102        10.28
       8   15756    2.642     7.470    0.3537    1.0004         9.44
       9   15756    2.594     7.509    0.3454    0.9770         9.26
      10   15755    3.351     9.083    0.3690    1.0436        11.97
      11   15756    4.460    12.050    0.3701    1.0468        15.93
      12   15755    5.260    14.228    0.3697    1.0458        18.79
      13   15753    5.140    13.880    0.3703    1.0474        18.36
      14   15752    4.178    11.450    0.3649    1.0320        14.92
      15   15754    3.293     9.324    0.3532    0.9991        11.76
      16   15753    2.950     8.328    0.3542    1.0019        10.54
      17   15628    2.782     7.777    0.3578    1.0119         9.94
      18   15471    2.369     6.838    0.3464    0.9798         8.46
      19   15361    2.083     6.164    0.3379    0.9556         7.44
      20   15340    1.985     5.875    0.3379    0.9558         7.09
      21    6499    2.023     5.893    0.3434    0.9712         7.23
      22   10959    2.091     6.062    0.3449    0.9754         7.47
      23   15721    2.793     7.392    0.3779    1.0688         9.98

-- h = 16 bars (240 minutes), random-walk line 0.2500
 hourUTC       n   E|net|   E[trav]  effRatio   vs walk  netPts/0.28
       0   15745    3.381    12.887    0.2624    1.0495        12.08
       1   15748    3.001    11.472    0.2616    1.0464        10.72
       2   15754    3.098    11.724    0.2643    1.0571        11.07
       3   15755    3.380    12.959    0.2608    1.0433        12.07
       4   15756    3.840    14.832    0.2589    1.0356        13.71
       5   15756    4.059    15.891    0.2554    1.0216        14.50
       6   15756    4.072    15.861    0.2567    1.0269        14.54
       7   15756    3.951    15.567    0.2538    1.0151        14.11
       8   15756    4.272    16.553    0.2581    1.0324        15.26
       9   15756    5.199    19.560    0.2658    1.0633        18.57
      10   15755    6.380    23.310    0.2737    1.0949        22.79
      11   15756    7.065    25.928    0.2725    1.0899        25.23
      12   15755    6.949    25.676    0.2706    1.0825        24.82
      13   15753    6.247    23.204    0.2692    1.0769        22.31
      14   15752    5.231    19.779    0.2645    1.0579        18.68
      15   15754    4.387    17.075    0.2569    1.0278        15.67
      16   15753    3.816    15.154    0.2518    1.0072        13.63
      17   15628    3.494    13.959    0.2503    1.0011        12.48
      18   15471    3.105    12.747    0.2436    0.9744        11.09
      19   15357    2.815    12.101    0.2326    0.9305        10.05
      20   15336    3.324    13.161    0.2526    1.0103        11.87
      21    6499    3.356    12.966    0.2588    1.0352        11.98
      22   10959    3.651    13.923    0.2622    1.0489        13.04
      23   15721    3.580    13.744    0.2604    1.0417        12.78
