data root: E:/rust/flowdesk/data-sealed
bars:      XAUDUKA-15m 362803 from 2010-06-01 00:00:00+00:00 to 2025-09-22 23:45:00+00:00
h:         4 bars = 60 minutes.  seeds: 200.  spread 0.28 points round trip

== path efficiency by hour of day against 200 sign-flipped paths ==
effRatio = sum|net| / sum travel over the bucket. The flip keeps every |r| in place,
so travel, volatility clustering and the hour profile are identical and only direction moves.
  bucket       n  effRatio   flipP50   flipP95    pct     walk
     h00   15745    0.5290    0.5297    0.5385    44%   0.5000
     h01   15748    0.5106    0.5168    0.5241    10%   0.5000
     h02   15754    0.4991    0.5141    0.5235     0%   0.5000
     h03   15755    0.4913    0.5176    0.5242     0%   0.5000
     h04   15756    0.5062    0.5200    0.5272     0%   0.5000
     h05   15756    0.5145    0.5147    0.5201    48%   0.5000
     h06   15756    0.4960    0.5173    0.5240     0%   0.5000
     h07   15756    0.5006    0.5151    0.5226     0%   0.5000
     h08   15756    0.4972    0.5153    0.5231     0%   0.5000
     h09   15756    0.4911    0.5128    0.5202     0%   0.5000
     h10   15755    0.4903    0.5169    0.5240     0%   0.5000
     h11   15756    0.5203    0.5326    0.5384     0%   0.5000
     h12   15755    0.5114    0.5271    0.5337     0%   0.5000
     h13   15753    0.5124    0.5195    0.5257     4%   0.5000
     h14   15752    0.5058    0.5160    0.5242     1%   0.5000
     h15   15754    0.5027    0.5150    0.5214     0%   0.5000
     h16   15753    0.4988    0.5141    0.5208     0%   0.5000
     h17   15628    0.4997    0.5242    0.5300     0%   0.5000
     h18   15471    0.5034    0.5171    0.5242     0%   0.5000
     h19   15361    0.4878    0.5171    0.5246     0%   0.5000
     h20   15340    0.4909    0.5487    0.5571     0%   0.5000
     h21    6499    0.5144    0.5651    0.5775     0%   0.5000
     h22   10960    0.4708    0.5186    0.5283     0%   0.5000
     h23   15721    0.5034    0.5254    0.5328     0%   0.5000

== the same for named slices ==
         slice        n  effRatio   flipP50   flipP95    pct
      all bars   362796    0.5037    0.5209    0.5226     0%
    h09-13 UTC    78775    0.5077    0.5226    0.5259     0%
    h12-16 UTC    78767    0.5072    0.5189    0.5222     0%
    h00-06 UTC   110270    0.5080    0.5191    0.5223     0%
    h17-23 UTC    94980    0.4961    0.5276    0.5308     0%
