data root: E:/rust/flowdesk/data-sealed
bars:      EURDUKA-15m 381199 from 2010-06-01 00:00:00+00:00 to 2025-09-22 23:45:00+00:00
h:         16 bars = 240 minutes.  seeds: 200.  spread 0.28 points round trip

== path efficiency by hour of day against 200 sign-flipped paths ==
effRatio = sum|net| / sum travel over the bucket. The flip keeps every |r| in place,
so travel, volatility clustering and the hour profile are identical and only direction moves.
  bucket       n  effRatio   flipP50   flipP95    pct     walk
     h00   15907    0.2491    0.2666    0.2720     0%   0.2500
     h01   15906    0.2490    0.2653    0.2712     0%   0.2500
     h02   15903    0.2489    0.2697    0.2742     0%   0.2500
     h03   15906    0.2572    0.2768    0.2820     0%   0.2500
     h04   15904    0.2575    0.2728    0.2775     0%   0.2500
     h05   15907    0.2568    0.2642    0.2690     0%   0.2500
     h06   15907    0.2608    0.2616    0.2670    40%   0.2500
     h07   15908    0.2594    0.2616    0.2655    21%   0.2500
     h08   15872    0.2644    0.2671    0.2716    18%   0.2500
     h09   15872    0.2678    0.2752    0.2809     0%   0.2500
     h10   15872    0.2704    0.2751    0.2808     8%   0.2500
     h11   15872    0.2688    0.2714    0.2772    22%   0.2500
     h12   15871    0.2667    0.2683    0.2735    29%   0.2500
     h13   15866    0.2632    0.2666    0.2712    14%   0.2500
     h14   15867    0.2606    0.2691    0.2743     0%   0.2500
     h15   15868    0.2555    0.2701    0.2744     0%   0.2500
     h16   15869    0.2516    0.2701    0.2749     0%   0.2500
     h17   15866    0.2541    0.2808    0.2867     0%   0.2500
     h18   15872    0.2419    0.2836    0.2887     0%   0.2500
     h19   15873    0.2370    0.2824    0.2870     0%   0.2500
     h20   15869    0.2417    0.2839    0.2893     0%   0.2500
     h21   15837    0.2482    0.2767    0.2823     0%   0.2500
     h22   15881    0.2481    0.2701    0.2752     0%   0.2500
     h23   15908    0.2476    0.2678    0.2725     0%   0.2500

== the same for named slices ==
         slice        n  effRatio   flipP50   flipP95    pct
      all bars   381183    0.2578    0.2706    0.2728     0%
    h09-13 UTC    79353    0.2674    0.2712    0.2754     6%
    h12-16 UTC    79341    0.2605    0.2687    0.2722     0%
    h00-06 UTC   111340    0.2553    0.2677    0.2708     0%
    h17-23 UTC   111106    0.2459    0.2776    0.2806     0%
