data root: E:/rust/flowdesk/data-sealed
bars:      XAGDUKA-15m 358065 from 2010-06-01 00:00:00+00:00 to 2025-09-22 23:45:00+00:00
h:         16 bars = 240 minutes.  seeds: 200.  spread 0.28 points round trip

== path efficiency by hour of day against 200 sign-flipped paths ==
effRatio = sum|net| / sum travel over the bucket. The flip keeps every |r| in place,
so travel, volatility clustering and the hour profile are identical and only direction moves.
  bucket       n  effRatio   flipP50   flipP95    pct     walk
     h00   15533    0.2418    0.2767    0.2818     0%   0.2500
     h01   15535    0.2387    0.2711    0.2770     0%   0.2500
     h02   15546    0.2404    0.2711    0.2760     0%   0.2500
     h03   15540    0.2403    0.2700    0.2761     0%   0.2500
     h04   15532    0.2440    0.2667    0.2724     0%   0.2500
     h05   15548    0.2418    0.2635    0.2679     0%   0.2500
     h06   15559    0.2411    0.2625    0.2675     0%   0.2500
     h07   15558    0.2366    0.2622    0.2673     0%   0.2500
     h08   15560    0.2369    0.2682    0.2743     0%   0.2500
     h09   15558    0.2412    0.2759    0.2816     0%   0.2500
     h10   15560    0.2513    0.2742    0.2796     0%   0.2500
     h11   15559    0.2540    0.2700    0.2756     0%   0.2500
     h12   15557    0.2573    0.2690    0.2736     0%   0.2500
     h13   15556    0.2618    0.2694    0.2749     1%   0.2500
     h14   15555    0.2554    0.2693    0.2747     0%   0.2500
     h15   15560    0.2477    0.2675    0.2743     0%   0.2500
     h16   15556    0.2429    0.2688    0.2748     0%   0.2500
     h17   15433    0.2363    0.2774    0.2840     0%   0.2500
     h18   15272    0.2218    0.2835    0.2895     0%   0.2500
     h19   15160    0.2123    0.2896    0.2968     0%   0.2500
     h20   15128    0.2360    0.2930    0.3002     0%   0.2500
     h21    6413    0.2384    0.2833    0.2919     0%   0.2500
     h22   10770    0.2485    0.2851    0.2928     0%   0.2500
     h23   15501    0.2492    0.2816    0.2870     0%   0.2500

== the same for named slices ==
         slice        n  effRatio   flipP50   flipP95    pct
      all bars   358049    0.2442    0.2725    0.2747     0%
    h09-13 UTC    77790    0.2535    0.2714    0.2755     0%
    h12-16 UTC    77784    0.2541    0.2690    0.2724     0%
    h00-06 UTC   108793    0.2413    0.2683    0.2717     0%
    h17-23 UTC    93677    0.2343    0.2846    0.2887     0%
