data root: E:/rust/flowdesk/data-sealed
bars:      XAUUSD-15m 77278 from 2022-06-16 10:30:00+00:00 to 2025-09-22 23:45:00+00:00
h:         16 bars = 240 minutes.  seeds: 200.  spread 0.28 points round trip

== path efficiency by hour of day against 200 sign-flipped paths ==
effRatio = sum|net| / sum travel over the bucket. The flip keeps every |r| in place,
so travel, volatility clustering and the hour profile are identical and only direction moves.
  bucket       n  effRatio   flipP50   flipP95    pct     walk
     h00    3372    0.2639    0.2689    0.2811    26%   0.2500
     h01    3372    0.2730    0.2662    0.2784    80%   0.2500
     h02    3372    0.2691    0.2666    0.2798    68%   0.2500
     h03    3372    0.2604    0.2667    0.2773    21%   0.2500
     h04    3372    0.2628    0.2631    0.2735    48%   0.2500
     h05    3372    0.2533    0.2595    0.2690    22%   0.2500
     h06    3372    0.2502    0.2602    0.2709     8%   0.2500
     h07    3372    0.2472    0.2604    0.2705     3%   0.2500
     h08    3372    0.2520    0.2695    0.2788     0%   0.2500
     h09    3372    0.2626    0.2802    0.2912     0%   0.2500
     h10    3374    0.2771    0.2797    0.2905    34%   0.2500
     h11    3376    0.2783    0.2729    0.2830    80%   0.2500
     h12    3376    0.2739    0.2680    0.2789    78%   0.2500
     h13    3376    0.2748    0.2680    0.2790    87%   0.2500
     h14    3376    0.2658    0.2679    0.2787    42%   0.2500
     h15    3375    0.2516    0.2662    0.2762     1%   0.2500
     h16    3375    0.2490    0.2673    0.2780     0%   0.2500
     h17    3355    0.2616    0.2783    0.2888     0%   0.2500
     h18    3328    0.2724    0.2850    0.2954     6%   0.2500
     h19    3279    0.2577    0.2826    0.2969     0%   0.2500
     h20    3260    0.2746    0.2835    0.2959    16%   0.2500
     h21    1004    0.2668    0.2820    0.3051    12%   0.2500
     h22    2316    0.2708    0.2723    0.2865    40%   0.2500
     h23    3372    0.2625    0.2671    0.2795    26%   0.2500

== the same for named slices ==
         slice        n  effRatio   flipP50   flipP95    pct
      all bars    77262    0.2646    0.2703    0.2741     1%
    h09-13 UTC    16874    0.2739    0.2732    0.2814    56%
    h12-16 UTC    16878    0.2654    0.2676    0.2744    36%
    h00-06 UTC    23604    0.2612    0.2643    0.2704    26%
    h17-23 UTC    19914    0.2664    0.2778    0.2861     1%
